scale	type	name	value
global	parameter	BNE_eps_iso	8
global	parameter	BNE_seas_iso	0
global	parameter	BNE_eps_mon	4.8
global	parameter	BNE_storfrac_mon	0.5
global	parameter	BINE_include	1
global	parameter	BINE_leaflong	3
global	parameter	BINE_turnover_leaf	0.33
global	parameter	BINE_tcmin_surv	-31
global	parameter	BINE_tcmin_est	-30
global	parameter	BINE_tcmax_est	-1
global	parameter	BINE_twmin_est	5
global	parameter	BINE_gdd5min_est	500
global	parameter	BINE_longevity	500
global	parameter	BINE_fireresist	0.3
global	parameter	BINE_eps_iso	8
global	parameter	BINE_seas_iso	0
global	parameter	BINE_eps_mon	4.8
global	parameter	BINE_storfrac_mon	0.5
global	parameter	BNS_include	1
global	parameter	BNS_tcmin_surv	-1000
global	parameter	BNS_tcmin_est	-1000
global	parameter	BNS_tcmax_est	-2
global	parameter	BNS_twmin_est	-1000
global	parameter	BNS_twminusc	43
global	parameter	BNS_gdd5min_est	350
global	parameter	BNS_phengdd5ramp	100
global	parameter	BNS_longevity	300
global	parameter	BNS_fireresist	0.3
global	parameter	BNS_eps_iso	8
global	parameter	BNS_seas_iso	1
global	parameter	BNS_eps_mon	4.8
global	parameter	BNS_storfrac_mon	0.5
global	parameter	TeNE_include	1
global	parameter	TeNE_leaflong	3
global	parameter	TeNE_turnover_leaf	0.33
global	parameter	TeNE_tcmin_surv	-2
global	parameter	TeNE_tcmin_est	-2
global	parameter	TeNE_tcmax_est	10
global	parameter	TeNE_twmin_est	5
global	parameter	TeNE_gdd5min_est	2000
global	parameter	TeNE_longevity	300
global	parameter	TeNE_fireresist	0.3
global	parameter	TeNE_eps_iso	8
global	parameter	TeNE_seas_iso	0
global	parameter	TeNE_eps_mon	4.8
global	parameter	TeNE_storfrac_mon	0.5
global	parameter	TeBS_include	1
global	parameter	TeBS_tcmin_surv	-14
global	parameter	TeBS_tcmin_est	-13
global	parameter	TeBS_tcmax_est	6
global	parameter	TeBS_twmin_est	5
global	parameter	TeBS_gdd5min_est	1100
global	parameter	TeBS_longevity	400
global	parameter	TeBS_fireresist	0.1
global	parameter	TeBS_eps_iso	45
global	parameter	TeBS_seas_iso	1
global	parameter	TeBS_eps_mon	1.6
global	parameter	TeBS_storfrac_mon	0
global	parameter	IBS_include	1
global	parameter	IBS_tcmin_surv	-30
global	parameter	IBS_tcmin_est	-30
global	parameter	IBS_tcmax_est	7
global	parameter	IBS_twmin_est	-1000
global	parameter	IBS_gdd5min_est	350
global	parameter	IBS_longevity	300
global	parameter	IBS_fireresist	0.1
global	parameter	IBS_eps_iso	45
global	parameter	IBS_seas_iso	1
global	parameter	IBS_eps_mon	1.6
global	parameter	IBS_storfrac_mon	0
global	parameter	TeBE_include	1
global	parameter	TeBE_leaflong	3
global	parameter	TeBE_turnover_leaf	0.33
global	parameter	TeBE_tcmin_surv	-1
global	parameter	TeBE_tcmin_est	0
global	parameter	TeBE_tcmax_est	18.8
global	parameter	TeBE_twmin_est	5
global	parameter	TeBE_gdd5min_est	2000
global	parameter	TeBE_longevity	300
global	parameter	TeBE_fireresist	0.3
global	parameter	TeBE_eps_iso	24
global	parameter	TeBE_seas_iso	0
global	parameter	TeBE_eps_mon	1.6
global	parameter	TeBE_storfrac_mon	0
global	parameter	TrBE_include	1
global	parameter	TrBE_leaflong	2
global	parameter	TrBE_turnover_leaf	0.5
global	parameter	TrBE_longevity	500
global	parameter	TrBE_fireresist	0.1
global	parameter	TrBE_eps_iso	24
global	parameter	TrBE_seas_iso	0
global	parameter	TrBE_eps_mon	0.8
global	parameter	TrBE_storfrac_mon	0
global	parameter	TrIBE_include	1
global	parameter	TrIBE_leaflong	2
global	parameter	TrIBE_turnover_leaf	0.5
global	parameter	TrIBE_longevity	200
global	parameter	TrIBE_fireresist	0.1
global	parameter	TrIBE_eps_iso	24
global	parameter	TrIBE_seas_iso	0
global	parameter	TrIBE_eps_mon	0.8
global	parameter	TrIBE_storfrac_mon	0
global	parameter	TrBR_include	1
global	parameter	TrBR_fnstorage	0.15
global	parameter	TrBR_leaflong	0.5
global	parameter	TrBR_turnover_leaf	1
global	parameter	TrBR_longevity	400
global	parameter	TrBR_fireresist	0.3
global	parameter	TrBR_eps_iso	45
global	parameter	TrBR_seas_iso	0
global	parameter	TrBR_eps_mon	2.4
global	parameter	TrBR_storfrac_mon	0
global	parameter	C3G_include	1
global	parameter	C3G_respcoeff	1
global	parameter	C3G_pstemp_min	-5
global	parameter	C3G_pstemp_low	10
global	parameter	C3G_pstemp_high	30
global	parameter	C3G_pstemp_max	45
global	parameter	C3G_tcmin_surv	-1000
global	parameter	C3G_tcmin_est	-1000
global	parameter	C3G_tcmax_est	1000
global	parameter	C3G_twmin_est	-1000
global	parameter	C3G_gdd5min_est	0
global	parameter	C3G_eps_iso	16
global	parameter	C3G_seas_iso	1
global	parameter	C3G_eps_mon	1.6
global	parameter	C3G_storfrac_mon	0.5
global	parameter	C4G_include	1
global	parameter	C4G_respcoeff	0.15
global	parameter	C4G_pstemp_min	6
global	parameter	C4G_pstemp_low	20
global	parameter	C4G_pstemp_high	45
global	parameter	C4G_pstemp_max	55
global	parameter	C4G_tcmin_surv	15.5
global	parameter	C4G_tcmin_est	15.5
global	parameter	C4G_tcmax_est	1000
global	parameter	C4G_twmin_est	-1000
global	parameter	C4G_gdd5min_est	0
global	parameter	C4G_eps_iso	8
global	parameter	C4G_seas_iso	0
global	parameter	C4G_eps_mon	2.4
global	parameter	C4G_storfrac_mon	0.5
europe	design	run_vegmode	cohort
europe	design	run_nyear_spinup	500
