PFT	LPJ_Parameter_name	Rlpj_Parameter_name	Default_value
BINE	tcmin_surv	BINE_tcmin_surv	-31
BINE	tcmin_est	BINE_tcmin_est	-30
BINE	tcmax_est	BINE_tcmax_est	-1
BINE	twmin_est	BINE_twmin_est	5
BINE	gdd5min_est	BINE_gdd5min_est	500
BINE	longevity	BINE_longevity	500
BINE	fireresist	BINE_fireresist	0.3
BINE	eps_iso	BINE_eps_iso	8.0
BINE	seas_iso	BINE_seas_iso	0
BINE	eps_mon	BINE_eps_mon	4.8
BINE	storfrac_mon	BINE_storfrac_mon	0.5
BNS	tcmin_surv	BNS_tcmin_surv	-1000
BNS	tcmin_est	BNS_tcmin_est	-1000
BNS	tcmax_est	BNS_tcmax_est	-2
BNS	twmin_est	BNS_twmin_est	-1000
BNS	twminusc	BNS_twminusc	43
BNS	gdd5min_est	BNS_gdd5min_est	350
BNS	phengdd5ramp	BNS_phengdd5ramp	100
BNS	longevity	BNS_longevity	300
BNS	fireresist	BNS_fireresist	0.3
BNS	eps_iso	BNS_eps_iso	8.0
BNS	seas_iso	BNS_seas_iso	1
BNS	eps_mon	BNS_eps_mon	4.8
BNS	storfrac_mon	BNS_storfrac_mon	0.5
TeNE	leaflong	TeNE_leaflong	3
TeNE	turnover_leaf	TeNE_turnover_leaf	0.33
TeNE	tcmin_surv	TeNE_tcmin_surv	-2
TeNE	tcmin_est	TeNE_tcmin_est	-2
TeNE	tcmax_est	TeNE_tcmax_est	10
TeNE	twmin_est	TeNE_twmin_est	5
TeNE	gdd5min_est	TeNE_gdd5min_est	2000
TeNE	longevity	TeNE_longevity	300
TeNE	fireresist	TeNE_fireresist	0.3
TeNE	eps_iso	TeNE_eps_iso	8.0
TeNE	seas_iso	TeNE_seas_iso	0
TeNE	eps_mon	TeNE_eps_mon	4.8
TeNE	storfrac_mon	TeNE_storfrac_mon	0.5
TeBS	tcmin_surv	TeBS_tcmin_surv	-14
TeBS	tcmin_est	TeBS_tcmin_est	-13
TeBS	tcmax_est	TeBS_tcmax_est	6
TeBS	twmin_est	TeBS_twmin_est	5
TeBS	gdd5min_est	TeBS_gdd5min_est	1100
TeBS	longevity	TeBS_longevity	400
TeBS	fireresist	TeBS_fireresist	0.1
TeBS	eps_iso	TeBS_eps_iso	45.0
TeBS	seas_iso	TeBS_seas_iso	1
TeBS	eps_mon	TeBS_eps_mon	1.6
TeBS	storfrac_mon	TeBS_storfrac_mon	0.
IBS	tcmin_surv	IBS_tcmin_surv	-30
IBS	tcmin_est	IBS_tcmin_est	-30
IBS	tcmax_est	IBS_tcmax_est	7
IBS	twmin_est	IBS_twmin_est	-1000
IBS	gdd5min_est	IBS_gdd5min_est	350
IBS	longevity	IBS_longevity	300
IBS	fireresist	IBS_fireresist	0.1
IBS	eps_iso	IBS_eps_iso	45.0
IBS	seas_iso	IBS_seas_iso	1
IBS	eps_mon	IBS_eps_mon	1.6
IBS	storfrac_mon	IBS_storfrac_mon	0.
TeBE	leaflong	TeBE_leaflong	3
TeBE	turnover_leaf	TeBE_turnover_leaf	0.33
TeBE	tcmin_surv	TeBE_tcmin_surv	-1
TeBE	tcmin_est	TeBE_tcmin_est	0
TeBE	tcmax_est	TeBE_tcmax_est	18.8
TeBE	twmin_est	TeBE_twmin_est	5
TeBE	gdd5min_est	TeBE_gdd5min_est	2000
TeBE	longevity	TeBE_longevity	300
TeBE	fireresist	TeBE_fireresist	0.3
TeBE	eps_iso	TeBE_eps_iso	24.0
TeBE	seas_iso	TeBE_seas_iso	0
TeBE	eps_mon	TeBE_eps_mon	1.6
TeBE	storfrac_mon	TeBE_storfrac_mon	0.
TrBE	leaflong	TrBE_leaflong	2
TrBE	turnover_leaf	TrBE_turnover_leaf	0.5
TrBE	longevity	TrBE_longevity	500
TrBE	fireresist	TrBE_fireresist	0.1
TrBE	eps_iso	TrBE_eps_iso	24.0
TrBE	seas_iso	TrBE_seas_iso	0
TrBE	eps_mon	TrBE_eps_mon	0.8
TrBE	storfrac_mon	TrBE_storfrac_mon	0.
TrIBE	leaflong	TrIBE_leaflong	2
TrIBE	turnover_leaf	TrIBE_turnover_leaf	0.5
TrIBE	longevity	TrIBE_longevity	200
TrIBE	fireresist	TrIBE_fireresist	0.1
TrIBE	eps_iso	TrIBE_eps_iso	24.0
TrIBE	seas_iso	TrIBE_seas_iso	0
TrIBE	eps_mon	TrIBE_eps_mon	0.8
TrIBE	storfrac_mon	TrIBE_storfrac_mon	0.
TrBR	fnstorage	TrBR_fnstorage	0.15
TrBR	leaflong	TrBR_leaflong	0.5
TrBR	turnover_leaf	TrBR_turnover_leaf	1
TrBR	longevity	TrBR_longevity	400
TrBR	fireresist	TrBR_fireresist	0.3
TrBR	eps_iso	TrBR_eps_iso	45.0
TrBR	seas_iso	TrBR_seas_iso	0
